time,promoter_35S,promoter_19S,gene_P5,gene_P4,gene_P6,gene_P1,untracked_large,gene_P3,gene_P2
10740.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10741.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10742.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10743.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10744.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10745.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10746.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10747.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10748.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10749.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10750.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10751.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10752.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10753.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10754.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10755.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10756.0,1000,1000,1000,1000,305,1000,1000,1000,1000
10757.0,1000,1000,1000,1000,305,1000,1000,1000,1000
